uniprotkb_id,uniprotkbac_id,organism,tpsprotein_names,tpsgene_names,geneprimary_identifier,genesecondary_identifier,emblgenbankddbjcds_id,synonym,organism_id,ec_number,uniparc,keywords,crossreference_interpro,geneontology_molecularfunction,taxonomiclineage_id,TPS CLASSIFICATION
E0CSI8,E0CSI8_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0014g02550,GSVIVT01014323001,PAC:17825331,CBI20287.3,VIT_19s0014g02550,29760,,UPI0001BE1C6D ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
E0CSJ0,E0CSJ0_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0014g02590,GSVIVT01014325001,PAC:17825333,CBI20289.3,VIT_19s0014g02590,29760,,UPI00015C7D31 ,Coiled coil;Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I7B0,F6I7B0_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0266g00070,"VIT_200s0266g00070.1, ",PAC:38047599 ,CCB62828.1,VIT_00s0266g00070,29760,,UPI0002108EF1 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HN28,F6HN28_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g05520,,,CCB56083.1,VIT_18s0001g05520,29760,,UPI000210910D ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TIB0,D7TIB0_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_08s0007g06860,,,CBI29986.3,VIT_08s0007g06860,29760,,UPI0001BE357A ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
F6H2I4,F6H2I4_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0014g04900,,,CCB46464.1,VIT_19s0014g04900,29760,,UPI00021083C9 ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
A5AQH7,A5AQH7_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g04870 VITISV_001915,"VIT_218s0001g04870.1, ",PAC:38019291 ,CAN64791.1,"VIT_18s0001g04870, VITISV_001915",29760,,UPI000151F255 ,Coiled coil;Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7SSX1,D7SSX1_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_10s0116g00750,GSVIVT01006342001,PAC:17819857,CBI18755.3,VIT_10s0116g00750,29760,,UPI0001BE15A9 ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6H871,F6H871_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein (Fragment),VIT_00s0372g00100,,,CCB48414.1,VIT_00s0372g00100,29760,,UPI000210A6B4 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
F6H896,F6H896_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0572g00020,"VIT_200s0572g00020.1, ",PAC:38050334 ,CCB48439.1,VIT_00s0572g00020,29760,,UPI000210A9AF ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
E5GAG5,E5GAG5_VITVI,Vitis vinifera (Grape),(E)-beta-ocimene synthase,VIT_12s0134g00020,,,ADR74204.1,VIT_12s0134g00020,29760,,UPI00015CA5B5 ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,MONOTERPENE SYNTHASE
F6HMZ2,F6HMZ2_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g04080,,,CCB56047.1,VIT_18s0001g04080,29760,,UPI0002108B1F ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TEQ7,D7TEQ7_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_12s0059g02710,GSVIVT01030646001,PAC:17837111,CBI28980.3,VIT_12s0059g02710,29760,,UPI0001BE3092 ,Coiled coil;Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HMZ4,F6HMZ4_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g04220,,,CCB56049.1,VIT_18s0001g04220,29760,,UPI00015C96D7 ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I7J2,F6I7J2_VITVI,Vitis vinifera (Grape),Uncharacterized protein (Fragment),VIT_00s0450g00010,"VIT_200s0450g00010.1, ",PAC:38048734 ,CCB62910.1,VIT_00s0450g00010,29760,,UPI0002108F0C ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6H873,F6H873_VITVI,Vitis vinifera (Grape),Uncharacterized protein (Fragment),VIT_00s0724g00010,,,CCB48416.1,VIT_00s0724g00010,29760,,UPI000210A6B6 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TEQ8,D7TEQ8_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_12s0059g02720,GSVIVT01030647001,PAC:17837112,CBI28981.3,VIT_12s0059g02720,29760,,UPI0001BE3093 ,Coiled coil;Magnesium;Membrane;Reference proteome;Transmembrane;Transmembrane helix,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I5S5,F6I5S5_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_13s0067g03690,,,CCB62293.1,VIT_13s0067g03690,29760,,UPI00015CBE53 ,Coiled coil;Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
D7TL97,D7TL97_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g04170,GSVIVT01036317001,PAC:17841284,CBI31269.3,VIT_18s0001g04170,29760,,UPI0001BE391F ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HN25,F6HN25_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g05430,,,CCB56080.1,VIT_18s0001g05430,29760,,UPI0002108E36 ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I7A6,F6I7A6_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0266g00010,"VIT_200s0266g00010.1, ",PAC:38049802 ,CCB62824.1,VIT_00s0266g00010,29760,,UPI0002108EED ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
E5GAF6,E5GAF6_VITVI,Vitis vinifera (Grape),(E)-alpha-bergamotene synthase,VIT_18s0001g04780,,,ADR74195.2,VIT_18s0001g04780,29760,,UPI0001F3A695 ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,SESQUITERPENE SYNTHASE
F6I6K0,F6I6K0_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_13s0067g00250,,,CCB62568.1,VIT_13s0067g00250,29760,,UPI0002109C27 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
F6H2H8,F6H2H8_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0014g04800,,,CCB46458.1,VIT_19s0014g04800,29760,,UPI00021083C3 ,Coiled coil;Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HV95,F6HV95_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0084g00010,,,CCB58607.1,VIT_13s0084g00010,29760,,UPI00015CCBD4 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TDX2,D7TDX2_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_07s0151g01040,GSVIVT01001155001,PAC:17817409,CBI28695.3,VIT_07s0151g01040,29760,,UPI00019838BB ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I6K7,F6I6K7_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0067g00380,,,CCB62575.1,VIT_13s0067g00380,29760,,UPI000210AB73 ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TL89,D7TL89_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_18s0001g04020,,,CBI31261.3,VIT_18s0001g04020,29760,,UPI0001BE3918 ,Reference proteome,IPR008949;IPR001906;IPR008930;,terpene synthase activity [GO:0010333],29760,
F6I7G1,F6I7G1_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0271g00060,"VIT_200s0271g00060.1, ",PAC:38049608 ,CCB62879.1,VIT_00s0271g00060,29760,,UPI0001985E35 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I5S8,F6I5S8_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0067g03790,,,CCB62296.1,VIT_13s0067g03790,29760,,UPI00015CBF68 ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TL96,D7TL96_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g04120,GSVIVT01036315001,PAC:17841283,CBI31268.3,VIT_18s0001g04120,29760,,UPI0001BE391E ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7U6G8,D7U6G8_VITVI,Vitis vinifera (Grape),"(E)-beta-ocimene/(E,E)-alpha-farnesene synthase",VIT_00s0361g00060,"VIT_200s0361g00060.1, GSVIVT01006399001","PAC:38050195, PAC:17819881",ADR74207.1,VIT_00s0361g00060,29760,,UPI00015CD7B7 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,MONOTERPENE SYNTHASE
F6HI41,F6HI41_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_07s0151g01070,,,CCB51887.1,VIT_07s0151g01070,29760,,UPI00021092F2 ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
Q6Q3H3,TPSGD_VITVI,Vitis vinifera (Grape),(-)-germacrene D synthase (EC 4.2.3.22) (EC 4.2.3.75),VIT_19s0014g04930 VIT_00014569001 VITISV_013313 VITISV_030783 Vv19s0014g04930,,,AAS66357.1,"VIT_19s0014g04930, VIT_00014569001 VITISV_013313 VITISV_030783 Vv19s0014g04930",29760,4.2.3.22; 4.2.3.75,UPI000034EC11 ,Cytoplasm;Lyase;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,germacradienol synthase activity [GO:0034004]; germacrene-D synthase activity [GO:0052577]; magnesium ion binding [GO:0000287],29760,SESQUITERPENE SYNTHASE
F6I5S7,F6I5S7_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0067g03740,,,CCB62295.1,VIT_13s0067g03740,29760,,UPI0002109BE7 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I7F8,F6I7F8_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0271g00030,"VIT_200s0271g00030.1, ",PAC:38049303,CCB62876.1,VIT_00s0271g00030,29760,,UPI000210ABDE ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HMY9,F6HMY9_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g04050,,,CCB56044.1,VIT_18s0001g04050,29760,,UPI0002108B1D ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7T123,D7T123_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0085g00830,GSVIVT01036724001,PAC:17841581,CBI24150.3,VIT_19s0085g00830,29760,,UPI0001BE272F ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,ent-kaurene synthase activity [GO:0009899]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TLC9,D7TLC9_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g05240,GSVIVT01036361001,PAC:17841316,CBI31301.3,VIT_18s0001g05240,29760,,UPI00015C98E0 ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6H8B3,F6H8B3_VITVI,Vitis vinifera (Grape),Uncharacterized protein (Fragment),VIT_00s0847g00020,,,CCB48456.1,VIT_00s0847g00020,29760,,UPI000210A9BD ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HMZ3,F6HMZ3_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_18s0001g04090,,,CCB56048.1,VIT_18s0001g04090,29760,,UPI0002108B20 ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
F6HN19,F6HN19_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g05290,,,CCB56074.1,VIT_18s0001g05290,29760,,UPI0002108E30 ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6H895,F6H895_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0572g00010,"VIT_200s0572g00010.1, ",PAC:38047888,CCB48438.1,VIT_00s0572g00010,29760,,UPI000210A9AE ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I7A9,F6I7A9_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_00s0266g00040,,,CCB62827.1,VIT_00s0266g00040,29760,,UPI0002108EF0 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
D7TLC8,D7TLC8_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g05230,GSVIVT01036360001,PAC:17841315,CBI31300.3,VIT_18s0001g05230,29760,,UPI00015C97ED ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HN22,F6HN22_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g05360,,,CCB56077.1,VIT_18s0001g05360,29760,,UPI0002108E33 ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TRU5,D7TRU5_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0385g00020,"VIT_200s0385g00020.1, GSVIVT01006591001","PAC:38049872, PAC:17819969",CBI33221.3,VIT_00s0385g00020,29760,,UPI0001BE3E01 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I6K6,F6I6K6_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0067g00370,,,CCB62574.1,VIT_13s0067g00370,29760,,UPI000210AB72 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HN01,F6HN01_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_18s0001g04510,,,CCB56056.1,VIT_18s0001g04510,29760,,UPI0002108E20 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
D7SZ04,D7SZ04_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_00s0372g00030,,,CBI23480.3,VIT_00s0372g00030,29760,,UPI0001BE2519 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
D7TRU4,D7TRU4_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0385g00010,"VIT_200s0385g00010.1, GSVIVT01006589001","PAC:38047597, PAC:17819968",CBI33220.3,VIT_00s0385g00010,29760,,UPI0001BE3E00 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HDC9,F6HDC9_VITVI,Vitis vinifera (Grape),Uncharacterized protein (Fragment),VIT_00s2271g00010,,,CCB50224.1,VIT_00s2271g00010,29760,,UPI0002107F17 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
E0CS76,E0CS76_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0014g01070,GSVIVT01014175001,PAC:17825219,CBI20175.3,VIT_19s0014g01070,29760,,UPI00015C7649 ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I6J9,F6I6J9_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0067g00130,,,CCB62567.1,VIT_13s0067g00130,29760,,UPI00015CD850 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
