uniprotkb_id,uniprotkbac_id,organism,tpsprotein_names,tpsgene_names,geneprimary_identifier,genesecondary_identifier,emblgenbankddbjcds_id,synonym,organism_id,ec_number,uniparc,keywords,crossreference_interpro,geneontology_molecularfunction,taxonomiclineage_id,TPS CLASSIFICATION,,,,,,,,,
A0A4S4DLF7,A0A4S4DLF7_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_021353,,,THG03759.1,TEA_021353,542762,,UPI00113391B4 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DNT3,A0A4S4DNT3_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_006512,,,THG04692.1,TEA_006512,542762,,UPI0011367784 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DGG9,A0A4S4DGG9_CAMSI,Camellia sinensis var. sinensis,Terpene_synth domain-containing protein,TEA_029462,,,THG01858.1,TEA_029462,542762,,UPI00113BD862 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4E020,A0A4S4E020_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_016783,,,THG09079.1,TEA_016783,542762,,UPI001136943D ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EC23,A0A4S4EC23_CAMSI,Camellia sinensis var. sinensis,Terpene_synth domain-containing protein,TEA_028242,,,THG13779.1,TEA_028242,542762,,UPI00113E8CCA ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4DL44,A0A4S4DL44_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_006351,,,THG03643.1,TEA_006351,542762,,UPI0011355BA3 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4V3WPL7,A0A4V3WPL7_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_011175,,,THG16907.1,TEA_011175,542762,,UPI00113A5489 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4E6E2,A0A4S4E6E2_CAMSI,Camellia sinensis var. sinensis,Terpene_synth domain-containing protein,TEA_015788,,,THG10906.1,TEA_015788,542762,,UPI0011386A08 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4DH84,A0A4S4DH84_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_015983,,,THG02150.1,TEA_015983,542762,,UPI001136A05C ,Coiled coil;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EQ14,A0A4S4EQ14_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_017482,,,THG18843.1,TEA_017482,542762,,UPI00113BFD26 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4E6Q6,A0A4S4E6Q6_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_021698,,,THG11713.1,TEA_021698,542762,,UPI00113CF00D ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DQK7,A0A4S4DQK7_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_015467,,,THG05382.1,TEA_015467,542762,,UPI001136374C ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DFA0,A0A4S4DFA0_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_013428,,,THG01390.1,TEA_013428,542762,,UPI00113AACAD ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4ETX4,A0A4S4ETX4_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_004341,,,THG19696.1,TEA_004341,542762,,UPI00113CBF12 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4CX42,A0A4S4CX42_CAMSI,Camellia sinensis var. sinensis,Terpene_synth domain-containing protein,TEA_028446,,,THF93973.1,TEA_028446,542762,,UPI001134A0B9 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4F1Y7,A0A4S4F1Y7_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_004152,,,THG23470.1,TEA_004152,542762,,UPI00113F56A9 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DA26,A0A4S4DA26_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_019104,,,THF99378.1,TEA_019104,542762,,UPI00113C4F2C ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EDB4,A0A4S4EDB4_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_002672,,,THG14309.1,TEA_002672,542762,,UPI00113AE0C2 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4CZA9,A0A4S4CZA9_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_019895,,,THF95240.1,TEA_019895,542762,,UPI00113D3FE1 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EH20,A0A4S4EH20_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_029004,,,THG15768.1,TEA_029004,542762,,UPI00113352CB ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4E6S9,A0A4S4E6S9_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_012657,,,THG11728.1,TEA_012657,542762,,UPI0011367D0C ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DH98,A0A4S4DH98_CAMSI,Camellia sinensis var. sinensis,Terpene_synth domain-containing protein,TEA_015975,,,THG02142.1,TEA_015975,542762,,UPI0011360B75 ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4F1X8,A0A4S4F1X8_CAMSI,Camellia sinensis var. sinensis,Terpene_synth domain-containing protein,TEA_020365,,,THG23460.1,TEA_020365,542762,,UPI0011372803 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4F2R7,A0A4S4F2R7_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_004601,,,THG23522.1,TEA_004601,542762,,UPI00113A0CEB ,Reference proteome,IPR008949;IPR035979;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EVZ3,A0A4S4EVZ3_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_027983,,,THG20526.1,TEA_027983,542762,,UPI00113F774E ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EYW4,A0A4S4EYW4_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_009421,,,THG22288.1,TEA_009421,542762,,UPI00113AAA04 ,Coiled coil;Metal-binding;Nucleus;Reference proteome;Repressor;Transcription;Transcription regulation,IPR008949;IPR013907;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4ERZ7,A0A4S4ERZ7_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_015838,,,THG19164.1,TEA_015838,542762,,UPI0011334698 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DRH1,A0A4S4DRH1_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_004203,,,THG05732.1,TEA_004203,542762,,UPI001134D108 ,Coiled coil;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4V6RY90,A0A4V6RY90_CAMSI,Camellia sinensis var. sinensis,Terpene_synth domain-containing protein,TEA_006355,,,THG03647.1,TEA_006355,542762,,UPI00113F2004 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4DFW0,A0A4S4DFW0_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_002058,,,THG00676.1,TEA_002058,542762,,UPI00113F4146 ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DFA2,A0A4S4DFA2_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_013421,,,THG01383.1,TEA_013421,542762,,UPI00113BD0F6 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4F2N5,A0A4S4F2N5_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_002182 TEA_014890,,,THG09110.1,TEA_002182 TEA_014890,542762,,UPI001036B1FF ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4E1Z0,A0A4S4E1Z0_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_027155,,,THG09850.1,TEA_027155,542762,,UPI001138E188 ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4E8S2,A0A4S4E8S2_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_020737,,,THG12024.1,TEA_020737,542762,,UPI00113418CC ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4CWE9,A0A4S4CWE9_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_028451,,,THF93978.1,TEA_028451,542762,,UPI00113B3D87 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DF86,A0A4S4DF86_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_013419,,,THG01381.1,TEA_013419,542762,,UPI001035A621 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4V3WKH8,A0A4V3WKH8_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_026266,,,THG00897.1,TEA_026266,542762,,UPI001139EDE5 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4ECM3,A0A4S4ECM3_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_007113,,,THG14038.1,TEA_007113,542762,,UPI00113CF32E ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DGE4,A0A4S4DGE4_CAMSI,Camellia sinensis var. sinensis,Terpene_synth domain-containing protein,TEA_026265,,,THG00896.1,TEA_026265,542762,,UPI00113515E2 ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4EKR2,A0A4S4EKR2_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_017357,,,THG16576.1,TEA_017357,542762,,UPI001134ED7F ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EYB6,A0A4S4EYB6_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_027682,,,THG22061.1,TEA_027682,542762,,UPI00113CF5A1 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4DLR8,A0A4S4DLR8_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_014980,,,THG03902.1,TEA_014980,542762,,UPI00113642BE ,Reference proteome;Signal,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4DE69,A0A4S4DE69_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_026264,,,THG00895.1,TEA_026264,542762,,UPI00113A5AC9 ,Iron;Iron-sulfur;Metal-binding;Reference proteome,IPR015931;IPR001030;IPR006249;IPR036008;IPR036038;IPR043132;IPR008949;IPR005630;,iron-sulfur cluster binding [GO:0051536]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DF06,A0A4S4DF06_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_004621,,,THG01215.1,TEA_004621,542762,,UPI001133EC8A ,Reference proteome,IPR008949;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4V3WQJ3,A0A4V3WQJ3_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_027974,,,THG20517.1,TEA_027974,542762,,UPI00113636C7 ,Reference proteome,IPR008949;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4ELP9,A0A4S4ELP9_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_008182,,,THG17104.1,TEA_008182,542762,,UPI00113AEB1D ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4D8L0,A0A4S4D8L0_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_011201,,,THF98333.1,TEA_011201,542762,,UPI001036DF1F ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4DE02,A0A4S4DE02_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_003451,,,THG00901.1,TEA_003451,542762,,UPI00113B969E ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR036965;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DRG4,A0A4S4DRG4_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_015469,,,THG05384.1,TEA_015469,542762,,UPI001135B253 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4DRI3,A0A4S4DRI3_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_004199,,,THG05728.1,TEA_004199,542762,,UPI0011352AEC ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4F2L2,A0A4S4F2L2_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_019527,,,THG23730.1,TEA_019527,542762,,UPI00113EC935 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4V3WL29,A0A4V3WL29_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_008772,,,THG03097.1,TEA_008772,542762,,UPI0011373A1F ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4DF48,A0A4S4DF48_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_026263,,,THG00894.1,TEA_026263,542762,,UPI00113D4BEA ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A4S4DHA5,A0A4S4DHA5_CAMSI,Camellia sinensis var. sinensis,Terpene_synth_C domain-containing protein,TEA_015985,,,,TEA_015985,542762,,UPI00113B0B77 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,,,,,,,,,,
A0A348AUV6,TPS1B_CAMHI,Camellia hiemalis (Camellia),Valerianol synthase TPS1B (EC 4.2.3.204) (Terpene synthase 1b) (ChTps1b),TPS1B,,,,TPS1B,1840584,4.2.3.204,UPI000E33787A ,Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,"carbon-oxygen lyase activity, acting on phosphates [GO:0016838]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]",1840584,SESQUITERPENE SYNTHASE,,,,,,,,,
A0A348AUW0,TPS1F_CAMHI,Camellia hiemalis (Camellia),Valerianol synthase TPS1F (EC 4.2.3.204) (Terpene synthase 1f) (ChTps1f),TPS1F,,,,TPS1F,1840584,4.2.3.204,UPI000E331401 ,Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,"carbon-oxygen lyase activity, acting on phosphates [GO:0016838]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]",1840584,SESQUITERPENE SYNTHASE,,,,,,,,,
A0A348AUV9,TPS1E_CAMHI,Camellia hiemalis (Camellia),Valerianol synthase TPS1E (EC 4.2.3.204) (Terpene synthase 1e) (ChTps1e),TPS1E,,,,TPS1E,1840584,4.2.3.204,UPI000E32ED27 ,Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,"carbon-oxygen lyase activity, acting on phosphates [GO:0016838]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]",1840584,SESQUITERPENE SYNTHASE,,,,,,,,,
A0A167V661,TPS8_CAMSI,Camellia sinensis (Tea),Valerianol synthase TPS8 (EC 4.2.3.204) (Terpene synthase 8) (CsiTPS8),TPS8,,,,TPS8,4442,4.2.3.204,UPI00177A75E3 ,Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,"carbon-oxygen lyase activity, acting on phosphates [GO:0016838]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]",4442,SESQUITERPENE SYNTHASE,,,,,,,,,
A0A140KFG9,TPS1_CAMBE,Camellia brevistyla,"Hedycaryol synthase (EC 4.2.3.174) ((2E,6E)-hedycaryol synthase) (Terpene synthase 1) (CbTps1)",TPS1,,,,TPS1,296050,4.2.3.174,UPI00078D028C ,Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; sesquiterpene synthase activity [GO:0010334],296050,,,,,,,,,,
