,PMCIDS,keywords,TPS_match,TPS._match
10,PMC3779162,NaN,"(TPSs)', 'TPS-a', 'TPS-g.', 'TPS-h', 'TPSs', 'TPS-e/f', 'TPS-d', 'TPS', 'TPSs', 'TPSs', 'TPS-a,', 'TPSs', 'TPS-a', 'TPSs', 'TPSs', 'TPS-a', 'TPSs', 'TPSs', 'TPS-b', 'TPSs', 'TPS-g', 'TPS', 'TPS-g', 'TPS-b'",
11,PMC8307374,"Fungi', 'Evolution', 'Diterpene', 'Sesterterpene', 'Chimeric Terpene Synthases'","AtTPS19', 'AtTPS19', 'AtTPS17'",
12,PMC6099575,"Expression pattern', 'Marchantia paleacea', 'Alkenal Double Bond Reductase', 'Hydroxycinnamyl Aldehydes', 'Microbial Type'","(TPS)', 'TPSs', 'TPS', '(SmTPSs)', 'TPS-like', '(SmMTPSLs)', 'SmMTPSL'",
13,PMC7099616,"Transcriptional Profiling', 'Avrht1', 'Ecp6', 'Six13-like', 'Effector Sequencing'",,
14,PMC7417412,"Evolution', 'Maize', 'Grasses', 'Terpene synthase', 'Ancestral Sequence Reconstruction'","TPS-a', 'TPS-a', 'TPS', 'TPS', 'TPS-a,', 'TPS-b,', 'TPS-c,', 'TPS-e,', 'TPS-f,', 'TPS-g.', 'TPS-a', 'TPS-a', 'TPS-a', 'TPS-a', 'TPS-a', 'TPS', 'TPS-a', 'TPS-a', 'TPS-a', 'TPS-a', 'TPS-a', 'TPS-a', 'TPS-a', 'TPS', 'ZmTPS20-Del', 'ZmTPS22-Del,', 'ZmTPS15-B73).', 'ZmTPS20-Del,', 'ZmTPS22-Del,', 'ZmTPS20-Del', 'ZmTPS22-Del', 'ZmTPS20-Del', 'ZmTPS22-Del,', 'ZmTPS15-B73', 'ZmTPS15-B73'",
15,PMC4447455,NaN,"diTPS,', 'diTPSs', 'diTPS'",
16,PMC3320957,NaN,,
17,PMC6742361,NaN,"TPS', 'TPS', 'TPS1,', 'TPS5,', 'TPS18,', 'TPS7,', 'TPS14', 'TPS', 'TPS,', 'TPS6,', 'TPS-b', 'TPS6', 'TPS13,', 'TPS3', 'TPS30', 'TPS5,', 'TPS13', 'TPS9', 'TPS33', 'TPS4', 'TPS9', 'TPS4', 'TPS9', 'TPS-a', 'TPS-b', 'TPS8', 'TPS32,', 'TPS7', 'TPS7', 'TPS5,', 'TPS5,', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS1', 'TPS-b', 'TPS9', 'TPS-a', 'TPS-c', 'TPS-a', 'TPS-b', 'TPS-c', 'TPS', 'TPS-b', 'TPS-a', 'TPS-c', 'TPS1,', 'TPS18', 'TPS5,', 'TPS', 'TPS', 'TPS-b', 'TPS1,', 'TPS2,', 'TPS3', 'TPS33,', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS-a', 'TPS-b', 'TPS-c', 'TPS', 'TPS37', 'TPS4-like', 'TPS37', 'TPS4-like', 'TPS', 'TPS4-like'",
18,PMC2835961,"Ecology', 'Evolution', 'Kiwifruit', 'Flower', 'Volatile', 'Dioecy', 'Terpene'",,
19,PMC6345374,"Antagonistic effect', 'synergistic effect', 'Recovery Kinetics', 'Stomatal Ozone Uptake', 'Time-delay Analysis', 'Acute Ozone Stress', '1,8-Cineole Synthase', 'Isoledene Synthase', 'Terpene Synthase Gene Expression'",,
20,PMC7412557,"Metabolites', 'Transcription factors', 'plant defense', 'Panicum virgatum', 'aphids', 'Transcriptomes', 'Gene-Networks', 'Hybrid Switchgrass'","(TPS)', 'TPS', 'TPS', 'di-TPS', 'di-TPS', 'TPS'",
21,PMC3545830,,,
22,PMC3516569,,,
23,PMC5573811,"Sesquiterpene', 'Citrus', 'Orange', 'Volatile', 'Monoterpene', 'Defense', 'Î’-caryophyllene'","SesquiTPSs', 'CsSesquiTPS1', 'CsSesquiTPS2', 'CsSesquiTPS3', 'CsSesquiTPS4', 'CsSesquiTPS5', 'CsSesquiTPS6', 'CsSesquiTPS6a', 'CsSesquiTPS6b', 'CsSesquiTPS6c', 'CsSesquiTPS6b,', 'CsSesquiTPS7', 'TPS', 'TPSs,', 'TPSs', 'TPSs', 'TPS-characteristics,', 'TPS', '(TPS/cyclase),', 'TPS', 'TPS', 'CsTPS', 'CsTPS', 'TPS', 'TPS', 'TPS', 'TPS', 'SesquiTPS,', 'SesquiTPS', 'TPSs', 'TPS-a', '(SesquiTPS),', 'TPS-b', 'TPS-g', 'MonoTPS).', 'II-TPS,', 'TPSs', 'CsTPSs', 'TPSs', 'TPSs', 'CsTPSs,', 'TPS', 'CsTPSs', 'TPSs', 'CsTPSs', 'TPS-c,', 'TPS,', 'TPS', 'TPSc', 'CsTPSc', 'TPS-e,', 'TPS-f,', 'TPS', 'TPS', 'TPS', 'TPS-b', 'MonoTPSs,', 'CsTPSb', 'TPS', 'CsTPSs,', 'CsTPS', 'MonoTPS', 'CsTPSs', 'SesquiTPSs.', 'CsTPSs', 'TPS', 'CsTPSs,', 'TPSs,', 'TPS-b', 'TPS-g', 'MonoTPS,', 'CsTPS-g,', 'CsTPSs.', 'TPS-b/g', 'TPS-a1', 'TPS-a1', 'SesquiTPSs', 'SesquiTPSs,', '(CuSesquiTPS1),', 'TPSs', 'CsTPS-a,', 'CsSesquiTPS7,', 'CsSesquiTPS6b', 'CsSesquiTPS6b', 'CsSesquiTPS6c,', 'CsSesquiTPS6b,', 'CsSesquiTPS6a', 'CsSesquiTPS5,', 'CsSesquiTPS6', 'CsSesquiTPS7', 'TPS', 'CsSesquiTPS5a', 'CsSesquiTPS5', 'CsSesquiTPS7,', 'CsSesquiTPS', 'CsSesquiTPS2,', 'CsTPSs,', 'CsTPSs', 'CsTPS', 'TPS-a', 'MonoTPS', 'CsSesquiTPS', 'CsSesquiTPS4,', 'CsSesquiTPS6a', 'CsSesquiTPS6b', 'CsSesquiTPS6c,', 'CsSesquiTPS1,', 'CsSesquiTPS5a', 'CsSesquiTPS5a', 'CsSesquiTPS5b', 'CsSesquiTPS5a.', 'CsSesquiTPS3,', 'TPS'",
24,PMC7911864,"Fusarium', 'Populus', 'Invertase', 'Transcriptome', 'Defense', 'apoplast', 'Sugar Metabolism'",,
25,PMC7591569,NaN,"PpTPS1', 'PpTPS1', 'PpTPS1', 'PpTPS1', 'PpTPS2'",
26,PMC6945444,"Citrus', 'Volatile Profile', 'Terpenoid Biosynthesis', 'Stps', 'Wild Or Semiwild Germplasms'","STPS', 'TPS', 'STPS', 'TPS', 'STPS', 'TPS', 'TPS', 'STPS'",
27,PMC6981803,"Soybean', 'BSA', 'QTL', 'Haplotype analysis', 'Ph And Nnms'",,
28,PMC5147822,NaN,TPS',
29,PMC3193516,NaN,"TPS14', 'SlTPS14', 'ShTPS14', 'ShTPS14', 'SlTPS31', 'SlTPS9', 'ShTPS9', 'TPS12', 'SlTPS17', 'ShTPS17,', '(SlTPS17;', '(ShTPS17;', 'SlTPS15', 'ShTPS15', 'ShTPS15', 'SlTPS16', 'SlTPS9', 'ShTPS9', 'SlTPS12', 'ShTPS12', 'SlTPS17', 'ShTPS17', 'TPS9', 'TPS12', 'TPS17', 'ShTPS14', 'TPS-a', 'SlTPS15', 'SlTPS14', 'ShTPS15', 'TPS14', 'ShTPS14', 'ShTPS14', 'TPS', 'TPS-a', 'TPS', 'TPS', 'TPS', 'TPS-a', 'TPS9', 'TPS12', 'TPS15,', 'TPS16', 'TPS17', 'TPS31', '(TPS31', 'TPS15', 'TPS9,', 'TPS12,', 'TPS15,', 'TPS17.', 'TPS15', 'TPS16', 'TPS16', 'ShTPS16', 'ShTPS16', 'TPSs', 'SlTPS9', 'ShTPS9', 'TPS', 'TPSs.', 'TPS5', 'TPS4', '(TPS20,', 'TPSs', 'TPS9,', 'TPS12,', 'TPS16', 'TPS17,', 'TPS9', 'TPS12,', 'TPS16', 'TPS17,', 'SlTPS3)', 'SlTPS9,', 'SlTPS12,', 'SlTPS17', 'SlTPS31', 'SlTPS31', 'SlTPS3,', 'SlTPS17', 'TPS9,', 'TPS12,', 'TPS14,', 'TPS17', 'TPS31', 'TPS9', 'TPS17', 'TPS12', 'SlTPS12', 'TPS14', 'TPS14', 'TPS31'",
30,PMC3525583,NaN,"TPSs', 'STPSs,', 'STPS', 'TPS', 'STPSs,', 'STPS', 'SbTPS1', 'SbTPS1', 'MTPSs,', 'MTPSs.', 'MTPS', 'MTPS', 'TPSs', 'TPSs', 'MTPSs', 'STPSs', 'TPS', '(TPSs)', '(MTPSs)', '(STPS)', 'TPS', 'TPSs', 'TPS', 'MTPS', 'STPS', 'MTPS,', 'TPS', 'MTPSs,', 'STPSs'",
31,PMC7552398,NaN,"ApTPS10,', 'ApTPS12,', 'ApTPS16,', 'ApTPS19', 'ApTPS16', 'ApTPS15', 'ApTPS14', 'ApTPS14', 'ApTPS19', 'ApTPS12,', 'ApTPS14,', 'ApTPS15,', 'ApTPS16', 'ApTPS10,', 'ApTPS12,', 'ApTPS15,', 'ApTPS16', 'ApTPS14', 'ApTPS19', 'ApTPS10,', 'ApTPS12,', 'ApTPS14,', 'ApTPS15,', 'ApTPS16,', 'ApTPS19', 'ApTPS19', 'ApTPS16', 'ApTPS19,', 'TPS-g', 'TPS', 'TPS-a,', 'TPS-b,', 'TPS-c,', 'TPS-e,', 'TPS-g', 'TPS-a,', 'TPS-b,', 'TPS-g', 'TPS', 'ApTPS7,', 'ApTPS9,', 'ApTPS17,', 'ApTPS18,', 'ApTPS21,', 'ApTPS22', 'TPS-a', 'ApTPS5', 'ApTPS6', 'TPS-b', 'ApTPS16', 'ApTPS19', 'TPS-g', 'TPS-e', 'ApTPS23.', 'TPS-c', 'ApTPS25,', 'TPS-c', 'ApTPS19', 'ApTPS15', 'ApTPS19'",
32,PMC3240162,NaN,"TPS)', 'PaTPS-Pin,', 'PaTPS-Car,', 'TPS-Lim)'",
33,PMC7299927,"Cucumis sativus', 'Transcriptome', 'volatile organic compounds', 'Herbivores', 'secondary metabolism', 'Two-spotted Spider Mites'",,
34,PMC5562797,NaN,,
35,PMC4344607,NaN,"(TPS)', 'TPS'",
36,PMC6162201,NaN,"TPSs', 'TPSs', 'TPS', 'TPS', 'TPS.'",TPS.'
37,PMC7504178,"Secondary metabolites', 'Derivatives', 'metabolic engineering', 'terpenes', 'Limonene Synthase', 'Pathway Flux Analyses'","TPSs', '(TPSs),', 'TPS.', 'TPS', 'TPS', 'TPS', 'TPSs'",TPS.'
38,PMC6796385,"Host plants', 'Î±-pinene', 'Olfactory', 'â€œPush-pullâ€ù Strategy'","TPSs', 'TPS', 'TPS2,', 'TPS14,', 'TPS22,', 'TPS23', 'TPS'",
39,PMC4153945,NaN,,
40,PMC5984618,NaN,,
41,PMC7067565,"Biochemistry', 'E. coli', 'Isoprenoids', 'Isoprene', 'Monoterpenes', 'Plant Biology', 'A. thaliana', 'Chemical Biology', 'Hdr', 'Mep Pathway', 'Bvoc'",,
42,PMC6718148,"Crystal structure', 'Actinoplanes Teichomyceticus', 'Prenylcyclases'",,
43,PMC7917104,NaN,"TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS-a', 'TPS-b', 'TPS-c', 'TPS-e', 'TPS-g', 'TPS-f', 'TPS', 'TPS', 'TPS-a,', 'TPS-b,', 'TPS-c,', 'TPS-e,', 'TPS-f,', 'TPS-g,', 'TPS', 'TPS-a', 'TPS-b'",
44,PMC6274141,"Terpenoid', 'Volatile compounds', 'Gene Expression', 'Valerenic Acid', 'Valeriana Fauriei'",,
45,PMC7484799,NaN,"TPS', 'ILTPSs', 'ILTPSs', 'ILTPSs', 'MliILTPS3', 'MliILTPS3', 'ILTPSs', 'MliILTPS2.', 'MlpILTPS', 'ILTPS', 'ILTPS', 'MlpILTPS1', 'MlpILTPS2', 'MlpILTPS1,', 'MlpILTPS2,', 'ILTPS', 'MlpILTPS1', 'MlpILTPS2', 'MliILTPS1', 'MliILTPS3', 'MliILTPS2', 'MlpILTPS1', 'MliILTPS2', 'ILTPSs', 'ILTPSs', 'ILTPS', 'TPSs:', 'MliILTPS2', 'MliILTPS3', 'MliILTPS2', 'MliILTPS3', 'MliILTPS2', 'MliILTPS3', 'MliILTPS2', 'MliILTPS3', 'TPSs', 'MliILTPS2', 'MliILTPS3', 'TPSs.', 'MlpILTPS1', 'MlpILTPS2', 'MliILTPS1', 'MliILTPS3', 'MlpILTPS2', 'ILTPSs', 'ILTPSs', 'ILTPSs,', 'MliILTPS2', 'MliILTPS2', 'TPSs', 'ILTPSs', 'ILTPSs', 'MlpILTPS1-3', 'TPS', 'MliILTPS1.', 'MliILTPS2', 'MliILTPS3.', 'MapILTPS1-4.', 'MapILTPS1', 'MapILTPS2', 'MapILTPS3', 'MapILTPS4', 'TPSs', 'ILTPSs', 'ILTPSs', 'ILTPSs', 'MlpILTPSs.', 'MliILTPS3,', 'MlpILTPS1,', 'MlpILTPS2', 'MliILTPS', 'MlpILTPS1', 'MlpILTPS2', 'MlpILTPSs,', 'MliILTPS', 'TPSs', 'TPSs', 'TPSs', 'TPSs', 'TPS', 'TPSs', '(ILTPSs)', 'ILTPSs', 'ILTPSs', 'ILTPSs', 'ILTPSs', 'ILTPS', 'TPS', 'TPSs', 'TPSs'",
46,PMC6355774,NaN,TPS',
47,PMC4538610,"Mep Pathway', 'Isopentenyl Diphosphate', 'Mva Pathway', 'Isopentenyl Phosphate Kinase', 'Plant Terpenoids'",,
48,PMC6256070,"Oleoresin', 'Transcriptome', 'Terpene synthase', 'Terpene biosynthesis', 'Sindora Glabra'","STPS1', 'STPS2,', 'SgTPSs', 'TPSs', 'TPS', 'TPS', 'TPS', 'STPS', '(SgSTPS1,', '(SgSTPS2,', 'DTPS', '(SgDTPS1,', '(SgDTPS2,', '(SgDTPS3,', '(SgDTPS4,', 'SgSTPS1', 'SgSTPS2', 'CoTPS1', 'CoTPS4', 'SgDTPS1', 'CoTPS5', 'SgDTPS2,', 'SgDTPS3,', 'SgDTPS4', 'SgSTPS1', 'SgSTPS2', 'SgDTPS1', 'SgDTPS2,', 'SgDTPS3,', 'SgDTPS4', 'TPSs.', 'SgSTPS1', 'SgSTPS2', 'TPS-a', 'SgDTPS1', 'TPS-c', 'SgDTPS2,', 'SgDTPS3,', 'SgDTPS4', 'TPS-e', 'SgSTPSs', 'SgSTPS1', 'SgSTPS2,', 'SgSTPS1', 'SgSTPS2', 'SgSTPS1', 'SgSTPS1', 'SgSTPS2', 'SgSTPS2', 'MTPSs', 'SgSTPS2.', 'SgSTPSs', 'SgSTPS1', 'SgSTPS2,', 'SgSTPSs', 'SgSTPS1', 'SgSTPS2', 'sesqui-TPSs.', 'SgSTPS1', 'SgSTPS2', 'SgSTPS1', 'SgSTPS2', 'SgSTPS1-GFP', 'SgSTPS2-GFP', 'SgSTPS1', 'SgSTPS2', 'DTPS1,', 'DTPS2,', 'DTPS3,', 'DTPS4', 'STPS1', 'STPS2', 'STPS1', 'STPS2', '(MTPSs),', 'MTPSs', 'STPS', 'STPS', 'STPSs'",
49,PMC5576791,"Manduca sexta', 'Nicotiana Attenuata', 'Heliothis Virescens', 'Jasmonate Signaling', 'Jasmonate Zim Domain (Jaz) Proteins'",,
50,PMC4464248,NaN,"(TPS-a),', '(TPS-b)', 'TPS-f', 'TPS-c', 'TPS-g', 'TPS-a', 'TPS-b', 'TPS-f', 'TPS', '(EgranTPS041),', '(EgranTPS013)', '(EgranTPS059),', 'EgranTPS', 'TPS-a', '(EgranTPS016,', 'EgranTPS017', 'EgranTPS019)', 'EgranTPS92', 'TPS', 'TPS', 'EgranTPS', 'EgranTPS026', 'EgranTPS027,', 'TPS', 'TPS', 'TPS', 'TPS-b', 'TPS', 'TPS', 'TPS-g', 'TPS-b.', 'TPS-g', 'TPS-g', 'TPS-g', 'TPS', 'TPS-a', 'TPS-b', 'TPS-c,', 'TPS', 'TPSâ€“c,', 'TPS-c', 'TPS-e,', 'TPS-f', 'EglobTPS119', 'EglobTPS123)', 'EgranTPS098)', 'TPS-a', 'TPS', 'TPS', 'TPS-a', 'TPS', 'TPS-b', 'TPS-b2,', 'TPS-b1', 'TPS-b1', 'TPS', 'TPS-b1', 'TPS-a', 'TPS-b1', 'TPS-c', '(TPS-b2)', 'TPS-a,', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS-d', 'TPS-h', '(TPS-c', 'TPS'",
51,PMC5289981,"Rhopalosiphum padi', 'Insectâ€“plant Interactions', '(E)-Î_-farnesene', 'Tps46', 'Terpene Syntheses'",TPS46',
52,PMC4709469,"Glycosylation', 'Osmanthus fragrans', 'Monoterpenes', 'Terpene synthase', 'Mep Pathway'","TPS', 'TPSs', 'TPS', 'TPS2', 'TPS4', 'TPS1', 'TPS3', 'TPS1', 'TPS3', 'TPS', 'OfTPS', 'OfTPSs', 'OfTPSs.', 'OfTPS1', 'OfTPS2', 'OfTPS3,', 'OfTPS4.', 'OfTPSs.', 'OfTPS', 'OfTPS1', 'OfTPS2', 'OfTPS3', 'OfTPS4', 'TPS', 'TPS', 'OfTPS1,', 'OfTPS2,', 'OfTPS3,', 'OfTPS4', 'TPSs,', 'TPSs', 'OfTPS4', 'OfTPS1', 'OfTPS3', 'TPS', 'OfTPS1and', 'OfTPS2', 'TPS-g', 'OfTPS1', 'OfTPS2', 'OfTPS1', 'OfTPS2', 'OfTPS3', 'OfTPS4', 'TPS-b', 'OfTPS1,', 'OfTPS3,', 'OfTPS4', 'OeTPS3', 'OeTPS2', 'TPSs', 'TPSs'",
53,PMC5580217,"Transcription factors', 'Microarray', 'Qrt Pcr', 'Diploid Cotton'",(TPS)',
54,PMC4687377,NaN,,
55,PMC4190577,NaN,,
56,PMC2705528,NaN,,
57,PMC5693887,"Biosynthesis', 'Orchidaceae', 'Evolution', 'Pollination', 'Semiochemical', 'Volatile Organic Compounds (VOCs)', 'Deception', 'Floral Volatile'",,
58,PMC6707303,NaN,"(TPS)', 'TPS24', 'TPS24', 'TPS24', 'TPS24,', 'TPS,'",
59,PMC6784883,NaN,"TPS', 'TPS', 'TPS', 'TPS', 'TPS-a,', 'TPS-b,', 'TPS-e', 'TPS-f', 'TPS-c', 'TPS', 'TPS-b', 'TPS-b-Lau', 'TPS-b-Lau', 'TPS', 'TPS).', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS-c', 'TPS-e', 'TPS', 'TPS-a', 'TPS-b', 'TPS', 'TPS', 'TPS-a,', 'TPS-b,', 'TPS-f', 'TPS-g', 'TPS', 'TPS', 'TPS-a', 'TPS', 'TPS-f', 'TPS', '(TPS)'",
60,PMC6592883,NaN,"BTPSLs', 'TPSs', 'BTPSLs', 'BTPSLs', 'MbrBTPS1', 'MbrBTPSL2', 'MbrBTPSLs', 'TPS', 'TPSs.', 'TPSs,', 'TPSs', 'TPSs', 'TPSs', 'TPSs', 'TPSs', 'TPSs', 'TPSs', 'TPSs', 'TPSs', 'TPSs', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'BTPSL)', 'BTPSL', 'MacBTPSL', 'MajBTPSL', 'MguBTPSL', 'ManBTPSL', 'MaaBTPSL', 'MbrBTPSL1', 'MbrBTPSL2', 'BTPSL', 'OcsBTPSL', 'OunBTPSL', 'BTPSLs', 'OunBTPSL', 'OcsBTPSL', 'OunBTPSL', 'BTPSL', 'BTPSLs', 'BTPSL', 'BTPSL', 'BTPSLs', 'BTPSLs', 'BTPSLs', 'MbrBTPSL2,', 'OcsBTPSL', 'OunBTPSL.', 'BTPSL', 'BTPSL', 'MaaBTPSL', 'MbrBTPSL2', 'MaaBTPSL', 'MbrBTPSL2', 'MbrBTPSL1.', 'MaaBTPSL', 'MbrBTPSL2', 'MaaBTPSL', 'MbrBTPSL2', 'MTPSLs', 'TPS', 'BTPSLs', 'ManBTPSL', 'MaaBTPSL,', 'BTPSLs.', 'BTPSLs,', 'ManBTPSL/MaaBTPSL', 'MguBTPSL/MajBTPSL/MbrBTPSL2', 'BTPSLs.', 'BTPSLs', 'TPSs', 'BTPSLs', 'BTPSLs', 'TPSs,', 'TPS', 'BcTPS.', 'BcTPS', 'BcTPS', 'BcTPS', 'BTPSLs', 'BTPSL', 'BTPSL', 'BTPSL', 'TPSs', 'BTPSLs', 'TPS', 'BTPSs', 'MacBTPSL,', 'MguBTPSL,', 'MajBTPSL,', 'MbrBTPSL1,', 'MbrBTPSL2', 'MbrBTPSL1', 'MajBTPSL', 'MbrBTPSL2', 'MacBTPSL', 'MguBTPSL,', 'ManBTPSL', 'MaaBTPSL', 'ManBTPSL', 'MaaBTPSL', 'TPS', 'MajBTPSL'",BcTPS.'
61,PMC6941020,"Terpenoids', 'Terpenoid Biosynthesis', 'Full-length Transcriptome', 'Cinnamomum Porrectum', 'Different Chemotypes'","CpTPS3,', 'CpTPS5', 'CpTPS9', 'CpTPS1', 'CpTPS4', 'TPS,', 'TPS,', 'TPS,', 'TPS', 'TPS', 'TPS', 'TPS'",
62,PMC5842272,"Biotechnology', 'Promiscuity', 'metabolic engineering', 'Synthetic Biology', 'Orthologs', 'Biosynthetic', 'Metabolic Diversity', 'Terpenoid Specialized Metabolites', 'Regio-specificity', 'Pathway Bifurcation', 'Stereo-specificity'",,
63,PMC4270698,NaN,,
