,metadata_json,PMCIDS,ethic,abstract,keywords,yake_keywords,"['number:', 'no.', 'number']_match",terms
14,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8254062\eupmc_result.json,PMC8254062,,"Hemothorax (HT) is a life-threatening condition, mainly iatrogenic and poorly explored in Liver Transplantation (LT) recipients. The aim of this study is to report and analyze for the first time incidence and outcomes of HT in LT recipients, as well as to suggest a management strategy. Data concerning 7130 consecutive adult liver and liver-kidney transplant recipients were retrospectively collected from ten Transplantation Centers' institutional databases, over a 10-year period. Clinical parameters, management strategies and survival data about post-operative HT were analyzed and reported. Thirty patients developed HT during hospitalization (0.42%). Thoracentesis was found to be the most common cause of HT (16 patients). A non-surgical management was performed in 17 patients, while 13 patients underwent surgery. 19 patients developed thoracic complications after HT treatment, with an overall mortality rate of 50%. The median length of stay in Intensive Care Units was 22 days (IQR 25-75  5-66.5). Postoperative hemothorax is mainly due to iatrogenic causes in LT recipients. Despite rare, it represents a serious complication with a high mortality rate and a challenging medical and surgical management. Its occurrence should always be prevented.","['Liver transplantation', 'Hemothorax', 'Thoracic Surgery', 'Liver Transplant Recipients']",[],[],NaN
15,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8255546\eupmc_result.json,PMC8255546,,NaN,NaN,[],[],NaN
16,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8258566\eupmc_result.json,PMC8258566,Ethics statements Patient consent for publication Not required. Ethics approval All data was publicly available and therefore ethics consent was not required. Ethics approval All data was publicly available and therefore ethics consent was not required.," Objectives This study examines the length of time between when a patent application is filed in Canada for a new drug and when it is available for patients (time to market) and various components of that time. It also looks at whether various factors explain the time between patent application to New Drug Submission (NDS) and compares Canadian and American times. Drugs approved between 1 January 2014 and 31 December 2018 are examined. Design Descriptive study. Data sources Websites from Health Canada, Food and Drug Administration, Merck Index, United States Patent and Trademark Office, WHO and previously published articles. Interventions None. Primary and secondary outcomes The primary outcomes are time to market, time from patent application to NDS (pre-NDS time), review time, time from approval to availability (postapproval time) and factors that may influence the pre-NDS time. The secondary outcome is a comparison of Canadian and American review times and times between patent application and approval. Results There were 113 drugs available for analysis. The median time to market was 11.80 years (IQR 9.40-14.05). The component median times were pre-NDS 10 years (IQR 8.05-12.80), review time 0.96 years (IQR 0.75-1.15) and postapproval time 0.15 years (IQR 0.08-0.28). Less than 8% of the pre-NDS time was explained by the factors that were analysed in a multiple linear regression equation. There was no statistically significant difference between Canadian and American pre-NDS times. Conclusion Once a drug reaches the market, companies have a median of 8.2 years before the patent expires and generics can reach the market. Most of the time between the filing of a patent application and when a drug is marketed is determined by decisions that are largely under the control of the company.","['Clinical Trials', 'Health Economics', 'Health Policy']","['statements Patient', 'Patient consent', 'required', 'Ethics', 'ethics consent', 'Patient', 'Ethics approval', 'Ethics statements', 'consent', 'approval']",[],NaN
17,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8262606\eupmc_result.json,PMC8262606,ETHICS APPROVAL STATEMENT Not applicable.,"We aimed to evaluate the quality of clinical evidence that substantiated approval of cancer medicines by the European Medicines Agency (EMA) in the last decade. We performed a systematic review and data synthesis of EMA documents in agreement with PRISMA guidelines. We included the European Public Assessment Reports, Summaries of Product Characteristics, and published randomized controlled trials (RCTs) on anti-cancer drugs approved by EMA from 2010 to 2019, and excluded drugs not indicated for targeting solid or hematological tumors and non-innovative treatments. We synthesized frequencies of approvals differentiating between unblinded and blinded RCTs with and without overall survival (OS) as a predefined primary outcome measure. We assessed the frequency of post-approval RCTs for indications without at least one RCT at the time of approval. Of 199 approvals, 159 (80%) were supported by at least one RCT, 63 (32%) by at least one RCT having OS as the primary or co-primary endpoint, 74 (37%) by at least one blinded RCT, and 30 (15%) by at least one blinded RCT having OS as the primary or co-primary endpoint. Whereas 40 approvals (20%) were not supported by any RCT and, of those, 9 (22%) were followed by a post-approval RCT. While the majority of approvals of cancer medicines approved by EMA was supported by at least one RCT, we noted substantial methodological heterogeneity of the studies. Clinical trial registration: PROSPERO registration number CRD42020206669.","['Randomized controlled trial', 'Anti-cancer Drugs', 'Overall Survival', 'Blinding', 'evidence-based medicine', 'Uncontrolled Trial']","['ETHICS APPROVAL', 'APPROVAL STATEMENT', 'ETHICS', 'APPROVAL', 'STATEMENT', 'applicable']",[],NaN
18,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8277550\eupmc_result.json,PMC8277550,," Aim To understand the impact of COVID pandemic on the activity and patients' care of the Head and Neck regional Unit, temporary moved in a COVID-free hospital. Methods We retrospectively analyzed the yearly activity of the ""Head & Neck Cancer Unit"" at the Azienda Ospedali Riuniti Marche Nord (Italy) during 2020 (COVID-19 pandemic) and we compared it with the one performed in 2019. Statistical analyses were performed using Chi-square. Results No significant differences were observed comparing the total number of patients treated for H&N squamous cell carcinoma (SCC) in 2019 with the ones in 2020. Moreover, no differences were identified in term of cancer stage at the moment of the surgery between 2019 and 2020. On the contrary, a significant reduction in the number of surgical procedures carried out for thyroid (p  Conclusions Despite Covid-19 limitations, our institution was able to preserve the number of major oncologic procedures without negative impact on patients' care. We believe that the creation of specific COVID-free hospital can be the key preserve quality of care in epidemic emergency.","['Cancer', 'Performance', 'Head And Neck', 'Multidisciplinary Tumor Board', 'Covid-19']",[],[],NaN
19,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8278724\eupmc_result.json,PMC8278724,," Background Treatments are often unavailable for rare disease patients, especially in low-and-middle-income countries. Reasons for this include lack of financial support for therapies and onerous regulatory requirements for approval of drugs. Other barriers include lack of reimbursement, administrative infrastructure, and knowledge about diagnosis and drug treatment options. The International Rare Diseases Research Consortium set up the Rare Disease Treatment Access Working Group with the first objective to develop an essential list of medicinal products for rare diseases. Results The Working Group extracted 204 drugs for rare diseases in the FDA, EMA databases and/or China's NMPA databases with approval and/or marketing authorization. The drugs were organized in seven disease categories: metabolic, neurologic, hematologic, anti-inflammatory, endocrine, pulmonary, and immunologic, plus a miscellaneous category. Conclusions The proposed list of essential medicinal products for rare diseases is intended to initiate discussion and collaboration among patient advocacy groups, health care providers, industry and government agencies to enhance access to appropriate medicines for all rare disease patients throughout the world.",NaN,[],[],NaN
20,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8284007\eupmc_result.json,PMC8284007,," Background Previous studies have indicated that failure to report ethical approval is common in health science articles. In social sciences, the occurrence is unknown. The Swedish Ethics Review Act requests that sensitive personal data, in accordance with the EU General Data Protection Regulation (GDPR), should undergo independent ethical review, irrespective of academic discipline. We have explored the adherence to this regulation. Methods Using the Web of Science databases, we reviewed 600 consecutive articles from three domains (health sciences with and without somatic focus and social sciences) based on identifiable personal data published in 2020. Results Information on ethical review was lacking in 12 of 200 health science articles with somatic focus (6%), 21 of 200 health science articles with non-somatic focus (11%), and in 54 of 200 social science articles (27%; p  Conclusions We conclude that reporting of research ethics approval is reasonably good, but not strict, in health science articles. Failure to report ethical approval is about three times more frequent in social sciences compared to health sciences. Improved adherence seems needed particularly in observational studies, in articles with few authors and in social science research.","['Social Sciences', 'Research Ethics', 'Health Sciences', 'Ethics Approval', 'Gdpr']",[],[],NaN
21,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8284071\eupmc_result.json,PMC8284071,"Ethical approval Research studies involving patients require ethical approval. Please state whether approval has been given, name the relevant ethics committee and the state the reference number for their judgement. Ethical approval This research has obtained ethical approval from Research and Ethics Committee, at Jordan University of Science and Technology, Irbid, Jordan, the committee's reference number is (705/2020)."," Background Rapid outbreak of Novel Corona Virus Disease (Covid-19) had a significant disrupts and challenges to many of well-established, traditional structure of medical Care, The family medicine practice in Jordan as many other countries has been challenged and severely strained due to the pandemic as well as the strict lockdowns and curfew that implanted in order to control the spread of the disease, in which major if not all family medicine outpatient's clinics were temporary suspended which negatively impact proper health care delivery to many patients. Objective This is to report the challenges we have been faced in Family medicine practice during Corona virus pandemic and it is related strict lockdowns periods, on both patient's care and education levels. Methods A Retrospective review of the family medicine out patient's visits at Jordan University of science and technology medical center before the pandemic, during the Pandemic lockdown and curfew, and after the phased opening and resuming the practice under new safety precautions and measures, results we compared.","['Infection', 'Coronavirus', 'Pandemic', 'Family Medicine', 'Lockdown', 'Covid-19']","['Ethical approval', 'studies involving', 'involving patients', 'patients require', 'Research studies', 'ethics committee', 'approval', 'require ethical', 'Ethical', 'Research']","['for', 'is']",NaN
22,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8291313\eupmc_result.json,PMC8291313,Ethics statements Patient consent for publication Not required.," Objectives To examine company characteristics associated with better transparency and to apply a tool used to measure and improve clinical trial transparency among large companies and drugs, to smaller companies and biologics. Design Cross-sectional descriptive analysis. Setting and participants Novel drugs and biologics Food and Drug Administration (FDA) approved in 2016 and 2017 and their company sponsors. Main outcome measures Using established Good Pharma Scorecard (GPS) measures, companies and products were evaluated on their clinical trial registration, results dissemination and FDA Amendments Act (FDAAA) implementation; companies were ranked using these measures and a multicomponent data sharing measure. Associations between company transparency scores with company size (large vs non-large), location (US vs non-US) and sponsored product type (drug vs biologic) were also examined. Results 26% of products (16/62) had publicly available results for all clinical trials supporting their FDA approval and 67% (39/58) had public results for trials in patients by 6 months after their FDA approval; 58% (32/55) were FDAAA compliant. Large companies were significantly more transparent than non-large companies (overall median transparency score of 95% (IQR 91-100) vs 59% (IQR 41-70), p Conclusions It was feasible to apply the GPS transparency measures and ranking tool to non-large companies and biologics. Large companies are significantly more transparent than non-large companies, driven by better data sharing procedures and implementation of FDAAA trial reporting requirements. Greater research transparency is needed, particularly among non-large companies, to maximise the benefits of research for patient care and scientific innovation.","['Clinical Trials', 'Health Policy', 'Ethics (See Medical Ethics)']","['statements Patient', 'Patient consent', 'Ethics statements', 'Patient', 'Ethics', 'required', 'statements', 'consent', 'publication']",[],NaN
23,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8293667\eupmc_result.json,PMC8293667,,[This corrects the article DOI: 10.3233/ADR-200278.].,NaN,[],[],NaN
24,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8295548\eupmc_result.json,PMC8295548,"Ethics Approval The study was approved by the Health, Science, Engineering and Technology ECDA, University of Hertfordshire. Protocol number for the same is aLMS/PGR/UH/03332(1)."," Background Biosimilars are expected to emerge as a rapidly growing segment of the biopharmaceutical industry. However, the biosimilar industry faces multiple challenges and obstacles in developing and marketing these complex products. Divergent regulatory framework in emerging countries adds to repetitive trials and increased cost of biosimilar development, delaying the approval process. Due to such roadblocks, healthcare systems and patients are yet to realize the full benefits of biosimilars. Objectives The aim of this exploratory study was to specifically identify the challenges faced by the industry in emerging countries including Brazil, Russia, India, China, South Africa, Turkey and Mexico (BRICS-TM), pertaining to biosimilar development and the regulatory approval process. In particular, this study aims to understand the perceptions of industry on the barriers faced by them in terms of complexity, costs for biosimilar development and time-to-market for biosimilar product. Methods A semi-quantitative questionnaire was designed based on secondary research. A total of 93 industry personnel and representatives from 14 trade associations from the BRICS-TM countries with 15-year minimum experience were identified and invited to take part in the study and participate in interviews, which were recorded verbatim. Data processing and analysis was carried out; descriptive statistics were used for quantitative data and content analysis was employed to generate themes for qualitative data. Results Of the 107 biopharmaceutical industry and trade association representatives invited to participate in the study, respondents from 33 biopharmaceutical companies agreed to take part and underwent the interviews. The industry personnel perceived biosimilar guidelines and approval processes as being protracted and in a state of evolution. The absence of an abridged approval pathway limited effectiveness of the regulatory process. The biggest hurdles in the development of biosimilar dossiers were the sourcing of the reference biological product and expectations around confirmatory clinical trials by the agencies. The non-comprehensive implementation of a stepwise approach resulting in unnecessary toxicity studies was also reported as a major challenge. The authors recommend further primary research with BRICS-TM regulatory agencies in order to propose a simplified pathway for development and approval. Conclusions Lack of standardized biosimilar development criteria and regulatory convergence across BRICS-TM agencies has led to challenges in multi-country development programmes for these medicines, in turn impacting the ability of industry to launch newer and more affordable biosimilars.",NaN,"['Technology ECDA', 'Ethics Approval', 'Science', 'Health', 'Engineering', 'ECDA', 'University', 'Hertfordshire', 'Approval', 'Technology']",['for'],NaN
