,metadata_json,PMCIDS,ethic,abstract,keywords,yake_keywords,"['number:', 'no.', 'No.', 'number']_match"
10,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8095072\eupmc_result.json,PMC8095072,Ethical approval Ethical approval was not needed for this study.,NaN,"['Immunoglobulin', 'IgG', 'IgM', 'Surgery', 'Covid-19', 'Sars-cov-2']","['Ethical approval', 'approval Ethical', 'Ethical', 'approval', 'study', 'needed']",[]
11,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8097195\eupmc_result.json,PMC8097195,"Ethics The authors confirm that ethical guidelines for archival data analysis, as outlined by the University of Cambridge were followed.","Making decisions over extended periods of time is cognitively taxing and can lead to decision fatigue, which is linked to a preference for the 'default' option, namely whatever decision involves relatively little cognitive effort. Such effects have been demonstrated across a number of applied settings, including forensic and clinical contexts. Previous research, however, has not quantified the cost of such suboptimal decisions. We assessed the magnitude of the negative consequences of decision fatigue in the finance sector. Using 26 501 credit loan applications evaluated by credit officers of a major bank, we show that in this real-life financial risk-taking context credit loan approvals across the course of a day decreased during midday compared with early or later in the workday, reflecting a preference for the default option. To quantify the economic loss associated with such decision variability, we then modelled the bank's additional credit collection if all decisions had been made during early morning levels of approval. This would have resulted in $509 023 extra revenue for the bank, for one month. Thus, we provide further evidence that is consistent with a pattern of decision fatigue, and that it can have a substantial negative impact in the finance sector that warrants considerations to counteract it.","['Decision Making', 'risk', 'Finance', 'Ego Depletion', 'Decision Fatigue']","['data analysis', 'authors confirm', 'ethical guidelines', 'archival data', 'University', 'Cambridge', 'Ethics', 'analysis', 'authors', 'confirm']",[]
12,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8100865\eupmc_result.json,PMC8100865,," Importance Clinical research supporting US Food and Drug Administration (FDA) drug approvals is largely conducted outside the US. Objective To characterize where drugs were tested for FDA approval and to determine how commonly and quickly these drugs received marketing approval in the countries where they were tested, both overall and by country income level and geographical region. Design, setting, and participants This cross-sectional analysis of trials supporting FDA approval of novel drugs in 2012 and 2014, sponsored by large drug companies, did not involve human participants. The settings were the countries hosting trials supporting US drug approval. Data sources included Drugs@FDA, ClinicalTrials.gov, PubMed, Google Scholar, EMBASE, and drug regulatory agency websites. Data analysis was completed March through September 2020. Main outcomes and measures The primary outcomes were the proportion of drugs approved for marketing in the countries where they were tested for FDA approval within 1, 2, 3, 4, and 5 years of FDA approval and the proportion of countries contributing participants to trials supporting FDA approvals receiving market access to the drugs they helped test within 1, 2, 3, 4, and 5 years of FDA approval. Results In 2012 and 2014, the FDA approved 34 novel drugs sponsored by large companies, on the basis of a total of 898 trials, 563 of which had location information available. Each drug was tested in a median (interquartile range [IQR]) of 25 (18-37) unique countries, including a median (IQR) of 20 (13-25) high-income countries, 6 (4-11) upper-middle-income countries, and 1 (0-2) low-middle-income country. One drug was approved for marketing in all testing countries within 1 year of FDA approval and 15% (5 of 34 drugs) were approved in all testing countries within 5 years of FDA approval. Of the 70 countries contributing research participants for FDA drug approvals, 7% (5 countries) received market access to drugs they helped test within 1 year of FDA approval and 31% (22 countries) did so within 5 years. Access within 1 year occurred in 13% (5 of 39) of high-income countries, 0 of 22 upper-middle-income countries (0%), and 0 of 9 lower-middle-income countries (0%), whereas at 5 years access rates were 46% (18 of 39 countries), 9% (2 of 22 countries), and 22% (2 of 9 countries), respectively. Approvals were faster in high-income countries (median [IQR], 8 [0-11] months) than in upper-middle-income countries (median [IQR], 11 [5-29] months) or lower-middle-income countries (median [IQR], 17 [11-27] months) after FDA approval. Access was lowest in African countries. Conclusions and relevance These findings suggest that substantial gaps exist between where FDA-approved drugs are tested and where they ultimately become available to patients, raising concerns about the equitable distribution of research benefits at the population level.",NaN,[],[]
13,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8103223\eupmc_result.json,PMC8103223,," Importance The US Food and Drug Administration (FDA) uses 510(k) clearance and premarket approval (PMA) pathways to ensure device safety before marketing. Premarket approval evaluates high-risk medical devices and requires clinical trials, whereas 510(k) clearance evaluates moderate-risk devices and relies on benchtop (nonclinical and biomechanical) and descriptive data. Existing literature suggests that the clinical trials required by PMA are associated with reduced risk of recall compared with devices granted 510(k) clearance. Several investigators have found weaknesses in pivotal PMA trials, raising safety concerns. Furthermore, methodological factors may have led to a previous underestimation of recall risk for devices with PMA. Objectives To compare risk of recall and high-risk recall between devices that received 510(k) clearance and those that received PMA and to compare the risk of recall between devices for medical specialties. Design, setting, and participants This cohort study compared devices with 510(k) clearance vs those with PMA that reached the market between January 1, 2008, and December 31, 2017. Two- to 12-year follow-up was obtained from the FDA's 510(k) and PMA medical device database. Orthopedic surgery was chosen arbitrarily as the reference category for analysis between specialties because no baseline exists. Statistical analysis was performed from February 1 to November 1, 2020. Main outcomes and measures The FDA issues recalls for safety concerns. These recalls are stratified into class I, II, and III, with class I representing high-risk issues for serious harm or death. The main outcome was the hazard ratio of any recall and class I recall between devices with PMA and those with 510(k) clearance. The secondary outcome was the recall hazard ratio between specialties with respect to the reference category. A single Cox proportional hazards regression model evaluating the association of medical specialty and FDA approval pathway with the risk of recall was performed. Results During the study period, 28 246 devices received 510(k) clearance and 310 devices (10.7%) received PMA; 3012 devices (10.7%) with 510(k) clearance and 84 devices (27.1%) with PMA were recalled. A total of 216 devices (0.8%) with 510(k) clearance and 16 devices (5.2%) with PMA had class I recalls. Devices with PMA compared with those with 510(k) clearance had a hazard ratio for recall of 2.74 (95% CI, 2.19-3.44; P  Conclusions and relevance This study suggests that high-risk medical devices approved via PMA are associated with a greater risk of recall than previously reported. Most recalls are for devices with 510(k) clearance, also raising safety concerns. Strengthening postmarketing surveillance strategies and pivotal trials may improve device safety.",NaN,[],[]
14,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8123745\eupmc_result.json,PMC8123745,ETHICAL APPROVAL A signed informed consent was obtained from next of kin and is available for review upon request. Constitutional ethical approval is not applicable.,Hemophagocytosis is usually observed in bone marrow. But it can be an incidental finding in other body fluids in severe infections like cerebrospinal fluid in case of meningitis. Clinicians need to rule out primary type of hemophagocytic syndrome.,"['Meningitis', 'Csf', 'Hemophagocytosis']","['ETHICAL APPROVAL', 'signed informed', 'informed consent', 'Constitutional ethical', 'ETHICAL', 'APPROVAL', 'request', 'signed', 'informed', 'consent']",[]
15,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8132139\eupmc_result.json,PMC8132139,," Importance Several studies have estimated the financial inputs for successful drug development. Such analyses do not capture the large investment that patient study participants commit to drug development. Objective To estimate the volume of patients required to achieve a first US Food and Drug Administration (FDA) approval for a new anticancer drug or biologic therapy. Design, setting, and participants This cohort study included a random sample of prelicense oncology drugs and biologics with a trial site in the United States that were launched into clinical efficacy testing between January 1, 2006, and December 31, 2010. Drugs and biologics were identified using ClinicalTrials.gov registration records. Total patient enrollment was captured over an 8-year span, and each intervention was classified based on whether it received FDA approval and was deemed as having intermediate or substantial value according to the American Society of Clinical Oncology Value Framework (ASCO-VF) score. Secondarily, the association between patient numbers and intervention characteristics was tested. Data were analyzed in February 2020. Main outcomes and measure The prespecified primary outcome was the number of patients enrolled in prelicense trials per FDA approval. Results A total of 120 drugs and biologics were included in our study, with 84 (70.0%) targeted agents, 20 (16.7%) immunotherapies, and 71 (59.2%) novel agents. A total of 13 drugs and biologics (10.8%; 95% CI, 5.3%-16.8%) in our sample gained FDA approval within 8 years, of which 1 (7.7%) was deemed of intermediate value and 3 (23.1%) were deemed of substantial value using ASCO-VF scoring. Overall, 158 810 patients were enrolled in 1335 trials testing these drugs and biologics, 47 913 (30.2%) in trials that led to FDA approval and 110 897 (69.8%) in trials that did not. An estimated 12 217 (95% CI, 7970-22 215) patient study participants contributed to prelicense trials per FDA approval. The estimated number of patients needed to produce a single FDA-approved drug or biologic of intermediate or substantial ASCO-VF clinical value was 39 703 (95% CI, 19 391-177 991). Conclusions and relevance The results of this cohort study make visible the substantial patient investment required for prelicense oncology drug development. Such analyses can be used to devise policies that maximize the clinical impact of research on a per-patient basis.",NaN,[],[]
16,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8170427\eupmc_result.json,PMC8170427,,"Coronavirus disease 2019 (COVID-19) may result in a life-threatening condition due to a hyperactive immune reaction to severe acute respiratory syndrome-coronavirus-2 infection, for which no effective treatment is available. Based on the potent immunomodulatory properties of mesenchymal stromal cells (MSCs), a growing number of trials are ongoing. This prompted us to carry out a thorough immunological study in a patient treated with umbilical cord-derived MSCs and admitted to the Intensive Care Unit for COVID-19-related pneumonia. The exploratory analyses were assessed on both peripheral blood and bronchoalveolar fluid lavage samples at baseline and after cellular infusion by means of single-cell RNA sequencing, flow cytometry, ELISA, and functional assays. Remarkably, a normalization of circulating T lymphocytes count paralleled by a reduction of inflammatory myeloid cells, and a decrease in serum levels of pro-inflammatory cytokines, mostly of interleukin-6 and tumor necrosis factor-α, were observed. In addition, a drop of plasma levels of those chemokines essential for neutrophil recruitment became evident that paralleled the decrease of lung-infiltrating inflammatory neutrophils. Finally, circulating monocytes and low-density gradient neutrophils acquired immunosuppressive function. This scenario was accompanied by an amelioration of respiratory, renal, inflammatory, and pro-thrombotic indexes. Our results provide the first immunological data possibly related to the use of umbilical cord-derived MSCs in severe COVID-19 context.","['Cytokines', 'Inflammatory Response', 'Mesenchymal Stromal Cells', 'Scrna-seq', 'Covid-19']",[],[]
17,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8182388\eupmc_result.json,PMC8182388,," Background The magnitude of clinical benefit of solid cancer drugs can be standardly assessed via the Magnitude of Clinical Benefit Scale (MCBS) developed by the European Society for Medical Oncology (ESMO). We applied two ESMO-MCBS versions to the last 12 years of European cancer drug approval and compared two predefined marketing authorisation timeframes to identify potential score changes over time. Material and methods Originator solid cancer drugs and indication extensions that were approved between 1 January 2009 and 31 October 2020 by the European Medicines Agency (EMA) were included in our analyses. To evaluate the clinical benefit of these cancer indications, the original ESMO-MCBS (v 1.1) and a locally adapted ESMO-MCBS version were applied to the study sample. Thus, two ESMO-MCBS versions were compared, and an additional analysis was conducted to identify potential score differences between two approval timeframes 2009-2014 versus 2015-2020. Results A total of 144 cancer indications intended as curative (n = 9) or non-curative (n = 135) treatment options were eligible for an ESMO-MCBS assessment. Solely a minority of the assessed cancer indications met the meaningful clinical benefit (MCB) criteria independent of the applied version of the scale and treatment intention (original: n = 48/144, 33.3% versus adapted: n = 27/144, 18.8%). Comparing the two EMA approval timeframes, a growing number of approved cancer indications could be observed: 2009-2014: n = 9/year versus 2015-2020: n = 14/year. In addition, almost no difference in the proportion of cancer indications that have met the MCB criteria was detectable when comparing the predefined authorisation timeframes (MCB increase original: +4.1% and adapted: +3.9%). Conclusion Applying both versions of the ESMO-MCBS can help to identify potentially beneficial cancer indications, but also those with rather uncertain or low clinical benefit and thus, support the fair allocation of limited health care resources.","['Clinical Benefit', 'Health Technology Assessment', 'Esmo-mcbs', 'Cancer Drug Approval', 'Evidenced-based Decision Making']",[],[]
18,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8185902\eupmc_result.json,PMC8185902,,[This corrects the article DOI: 10.3892/ol.2021.12492.].,NaN,[],[]
19,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8191002\eupmc_result.json,PMC8191002,," Background Orphan drug designations are a useful proxy to investigate trends in rare disease drug development. Drug developers must receive a designation before they are eligible for the economic incentives of the Orphan Drug Act in the United States. We created a database of all orphan drugs designated between 1983 and 2019 that included numerous drug characteristics, including therapeutic area. In addition, we constructed a ""broad disease"" categorization of designations as an alternative to therapeutic area, based on disease etiology and age of onset rather than organ system. By looking at the pattern of orphan drug designations over the past four decades, this analysis studied the impact of the evolving rare disease drug development landscape and considers the future of rare disease therapies over the coming decades. Results Between 1983 and 2019, a total of 5099 drugs and biologics received orphan drug designation. Designations more than doubled between the 1980s and 1990s, almost doubled between the 1990s and 2000s, and almost tripled in number between the 2000s and 2010s. The top three therapeutic areas represented in the orphan drug designations were: oncology (1910, 37%), neurology (674, 13%), and infectious diseases (436, 9%). The broad disease categorization found that the proportion of designations for pediatric-onset diseases has increased in the most recent decade to 27%. Conclusions Analysis of the last four decades of orphan drug designation indicates seismic shifts have occurred in the rare disease drug development space. The number of designations granted more than quadrupled between the 1990s and 2010s. While these substantial increases led to growth in the absolute number of designations within all therapeutic areas (bar one) and broad disease categories, the relative proportions have seen considerable change over time. In the most recent decade, there have been notable increases in the proportion of drugs in oncology, pediatric-onset diseases, and neurologic disorders. The dramatic rise in overall orphan designations over the past four decades suggests we may continue to see an upward trajectory in designations leading to an increased number of approvals for drugs and biologics designed specifically for diagnosing, preventing, and treating rare diseases in the coming decades.","['Oncology', 'Pediatric', 'Orphan Drug Act', 'Rare Disease', 'Orphan Drugs', 'Us Food And Drug Administration', 'Orphan Drug Designation']",[],[]
20,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8193429\eupmc_result.json,PMC8193429,," Importance After US Food and Drug Administration (FDA) approval of a new drug, sponsors can submit additional clinical data to obtain supplemental approval for use for new indications. Objective To characterize pivotal trials supporting recent supplemental new indication approvals of drugs and biologics by the FDA and to compare them with pivotal trials that supported these therapeutics' original indication approvals. Design, setting, and participants This is a cross-sectional study characterizing pivotal trials supporting supplemental indication approvals by the FDA between 2017 and 2019 and pivotal trials that supported these therapeutics' original indication approvals. Data analysis was performed from August to October 2020. Main outcomes and measures Number and design of pivotal trials supporting both supplemental and original indication approvals. Results From 2017 to 2019, the FDA approved 146 supplemental indications for 107 therapeutics on the basis of 181 pivotal efficacy trials. The median (interquartile range) number of trials per supplemental indication was 1 (1-1). Most trials used either placebo (77 trials [42.5%; 95% CI, 35.6%-49.8%]) or active comparators (65 trials [35.9%; 95% CI, 29.3%-43.1%]), and most of these multigroup trials were randomized (141 trials [99.3%; 95% CI, 96.0%-100.0%]) and double-blinded (106 trials [74.5%; 95% CI, 66.6%-81.0%]); 80 trials (44.2%; 95 CI, 37.2%-51.5%) used clinical outcomes as the primary efficacy end point. There was no difference between oncology therapies and those approved for other therapeutic areas to have supplemental indication approvals be based on at least 2 pivotal trials (11.5% vs 20.6%; difference, 9.1%; 95% CI, 2.9%-21.0%; P = .10). Similarly, there was no difference in use of randomization (98.3% vs 100.0%; difference, 1.7%; 95% CI, 1.6%-5.0%; P = .43) among multigroup trials, although these trials were less likely to be double-blinded (50.8% vs 92.3%; difference, 41.5%; 95% CI, 27.4%-55.5%; P  Conclusions and relevance These findings suggest that the number and design of the pivotal trials supporting supplemental indication approvals by the FDA varied across therapeutic areas, with the strength of evidence for cancer indications weaker than that for other indications. There was little difference in the design characteristics of the pivotal trials supporting supplemental indication and original approvals.",NaN,[],[]
21,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8212536\eupmc_result.json,PMC8212536,," Background Northwestern Nigeria faces a situation of high fertility and low contraceptive use, driven in large part by high-fertility norms, pro-natal cultural and religious beliefs, misconceptions about contraceptive methods, and gender inequalities. Social and behavior change (SBC) programs often try to shift drivers of high fertility through multiple channels including mass and social media, as well as community-level group, and interpersonal activities. This study seeks to assist SBC programs to better tailor their efforts by assessing the effects of intermediate determinants of contraceptive use/uptake and by demonstrating their potential impacts on contraceptive use, interpersonal communication with partners, and contraceptive approval. Methods Data for this study come from a cross-sectional household survey, conducted in the states of Kebbi, Sokoto and Zamfara in northwestern Nigeria in September 2019, involving 3000 women aged 15 to 49 years with a child under 2 years. Using an ideational framework of behavior that highlights psychosocial influences, mixed effects logistic regression analyses assess associations between ideational factors and family planning outcomes, and post-estimation simulations with regression coefficients model the magnitude of effects for these intermediate determinants. Results Knowledge, approval of family planning, and social influences, particularly from husbands, were all associated with improved family planning outcomes. Approval of family planning was critical - women who personally approve of family planning were nearly three times more likely to be currently using modern contraception and nearly six times more likely to intend to start use in the next 6 m. Husband's influence was also critical. Women who had ever talked about family planning with their husbands were three times more likely both to be currently using modern contraception and to intend to start in the next 6 m. Conclusion SBC programs interested in improving family planning outcomes could potentially achieve large gains in contraceptive use-even without large-scale changes in socio-economic and health services factors-by designing and implementing effective SBC interventions that improve knowledge, encourage spousal/partner communication, and work towards increasing personal approval of family planning. Uncertainty about the time-order of influencers and outcomes however precludes inferences about the existence of causal relationships and the potential for impact from interventions.","['Nigeria', 'Family Planning', 'Social And Behavior Change']",[],[]
22,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8212735\eupmc_result.json,PMC8212735,,"The current success rate of a drug candidate, from the beginning of the clinical trial to receiving marketing approval, is about 10%-20%, and it has not changed during the past few decades. Therefore, pharmaceutical companies are under pressure to select one compound, among many others, with a high probability of success. The differences in drug features affect their probabilities of approval success. In this study, we examined the approval success rates of drug candidates, developed in the United States, the European Union, or Japan, by focusing on four parameters (""drug target,"" ""drug action,"" ""drug modality,"" and ""drug application"") and their combinations, and identified factors that conditioned the outcome of the drug development process. We obtained a total success rate of 12.8%, after evaluating 3999 compounds. Moreover, after analyzing the combinations of these parameters, the approval success rates of drugs that corresponded to the following categories-a stimulant in drug action or an enzyme in drug target and biologics (excluding monoclonal antibody) in drug modality-were high (34.1% and 31.3%, respectively). Univariate and multivariate logistic regression analyses revealed that stimulant in drug action, and ""B"" (blood and blood forming organs), ""G"" (genito-urinary system and sex), and ""J"" (anti-infectives for systemic use) in drug application were statistically associated with high approval success rates. We found several parameters and their combinations that affected drug approval success rates. Our results could assist pharmaceutical companies in evaluating the probability of success of their drug candidates and, thus, in efficiently conducting the clinical development process.",NaN,[],[]
