,metadata_json,PMCIDS,ethic,abstract,keywords,yake_keywords,"['number:', 'no.', 'No.', 'number']_match",terms
10,C:\Users\shweata\ethics_statement_2000_generic\PMC7331371\eupmc_result.json,PMC7331371,,[This corrects the article DOI: 10.1002/ped4.12053.].,[],[],[],NaN
11,C:\Users\shweata\ethics_statement_2000_generic\PMC7425922\eupmc_result.json,PMC7425922,Ethics statement All the data were fully anonymized before we accessed them. Our study was approved by the Institutional Review Board at the Washington University School of Medicine in St. Louis. We obtained a written acknowledgement of proprietary rights and non-disclosure and data use agreement from the American Heart Association (The Washington University_NDA_DUA_CONTRACTID 158065_2019.04.26_K).,"BACKGROUND:Cancer is the second leading cause of death in the United States. Cancer screenings can detect precancerous cells and allow for earlier diagnosis and treatment. Our purpose was to better understand risk factors for cancer screenings and assess the effect of cancer screenings on changes of Cardiovascular health (CVH) measures before and after cancer screenings among patients. METHODS:We used The Guideline Advantage (TGA)-American Heart Association ambulatory quality clinical data registry of electronic health record data (n = 362,533 patients) to investigate associations between time-series CVH measures and receipt of breast, cervical, and colon cancer screenings. Long short-term memory (LSTM) neural networks was employed to predict receipt of cancer screenings. We also compared the distributions of CVH factors between patients who received cancer screenings and those who did not. Finally, we examined and quantified changes in CVH measures among the screened and non-screened groups. RESULTS:Model performance was evaluated by the area under the receiver operator curve (AUROC): the average AUROC of 10 curves was 0.63 for breast, 0.70 for cervical, and 0.61 for colon cancer screening. Distribution comparison found that screened patients had a higher prevalence of poor CVH categories. CVH submetrics were improved for patients after cancer screenings. CONCLUSION:Deep learning algorithm could be used to investigate the associations between time-series CVH measures and cancer screenings in an ambulatory population. Patients with more adverse CVH profiles tend to be screened for cancers, and cancer screening may also prompt favorable changes in CVH. Cancer screenings may increase patient CVH health, thus potentially decreasing burden of disease and costs for the health system (e.g., cardiovascular diseases and cancers).",[],"['Ethics statement', 'Washington University', 'fully anonymized', 'Institutional Review', 'Review Board', 'University School', 'Heart Association', 'American Heart', 'Washington', 'University']",[],NaN
12,C:\Users\shweata\ethics_statement_2000_generic\PMC7442515\eupmc_result.json,PMC7442515,," Objectives To provide an introduction to the 2020 International Medical Informatics Association (IMIA) Yearbook by the editors. Methods This editorial provides an introduction and overview to the 2020 IMIA Yearbook which special topic is: ""Ethics in Health Informatics"". The keynote paper, the survey paper of the Special Topic section, and the paper about Donald Lindberg's ethical scientific openness in the History of Medical Informatics chapter of the Yearbook are discussed. Changes in the Yearbook Editorial Committee are also described. Results Inspired by medical ethics, ethics in health informatics progresses with the advances in biomedical informatics. With the wide use of EHRs, the enlargement of the care team perimeter, the need for data sharing for care continuity, the reuse of data for the sake of research, and the implementation of AI-powered decision support tools, new ethics requirements are necessary to address issues such as threats on privacy, confidentiality breaches, poor security practices, lack of patient information, tension on data sharing and reuse policies, need for more transparency on apps effectiveness, biased algorithms with discriminatory outcomes, guarantee on trustworthy AI, concerns on the re-identification of de-identified data. Conclusions Despite privacy rules rooted in the Health Insurance Portability and Accountability Act of 1996 (HIPAA) in the USA and even more restrictive new regulations such as the EU General Data Protection Regulation published in May 2018, some people do not believe their data will be kept confidential and may not share sensitive information with a provider, which may also induce unethical situations. Transparency on healthcare data processes is a condition of healthcare professionals' and patients' trust and their adoption of digital tools.",[],[],[],NaN
13,C:\Users\shweata\ethics_statement_2000_generic\PMC7444445\eupmc_result.json,PMC7444445,,"The COVID-19 pandemic is a kind of global disaster caused by the new coronavirus-19, the SARS-CoV-2 virus. Since the first eruption of this pandemic, which adversely affected the world in many ways, a large number of publications have been presented to the world of science. In this article, possible publication ethical dilemmas related to scientific articles increasing in number during the COVID-19 pandemic were tried to be reminded through two examples of articles.","['Publishing Ethics', 'Scientific Articles', 'Sars-cov-2', 'Covid-19 Pandemic']",[],[],NaN
14,C:\Users\shweata\ethics_statement_2000_generic\PMC7446862\eupmc_result.json,PMC7446862,"Ethics statement All procedures performed in studies involving human participants were undertaken in accordance with the ethical, institutional, and/or national research committee guidelines of the centers at which the studies were conducted (Yamagata University, 2008, no. 103) and in compliance with the 1964 Helsinki declaration and its later amendments or comparable ethical standards. The institutional ethics committee of Yamagata University School of Medicine approved the study. This study was performed according to the Ethical Guidelines for Medical and Health Research Involving Human Subjects enacted by the Ministry of Health, Labour and Welfare of Japan ( http://www.mhlw.go.jp/file/06-Seisakujouhou-10600000-Daijinkanboukouseikagakuka/0000069410.pdf;  http://www.mhlw.go.jp/file/06-Seisakujouhou-10600000-Daijinkanboukouseikagakuka/0000080278.pdf). In the context of the guideline, the investigators shall not necessarily be required to obtain informed consent, but we publicized information concerning this study on the web ( http://www.fmu.ac.jp/univ/sangaku/data/koukai_2/2771.pdf) and ensured that there was an opportunity for the research subjects to decline the use of their personal information. All data were fully anonymized."," Background Plasma volume status (PVS), a marker of plasma volume expansion and contraction, is gaining attention in the field of cardiovascular disease because of its role in the prevention and of the management of heart failure. However, it remains undetermined whether an abnormal PVS is a risk for all-cause and cardiovascular mortality in the general population. Methods and results We used a nationwide database of 230,882 subjects (age 40-75 years) who participated in the annual ""Specific Health Check and Guidance in Japan"" check-up between 2008 and 2011. There were 586 cardiovascular deaths, 2,552 non-cardiovascular deaths, and 3,138 all-cause deaths during the follow-up period of four years. Abnormally high and low PVS were identified from the results of 80% of all subjects (high and low PVS ≥ 7 and  Conclusions This is the first prospective report to reveal the impact of PVS on all-cause and cardiovascular mortality. PVS could be an additional risk factor for all-cause and cardiovascular mortality in the general population.",[],"['Yamagata University', 'studies involving', 'involving human', 'human participants', 'University School', 'Ethics statement', 'national research', 'procedures performed', 'studies', 'Ethical Guidelines']",['103)'],NaN
15,C:\Users\shweata\ethics_statement_2000_generic\PMC7453707\eupmc_result.json,PMC7453707,,An amendment to this paper has been published and can be accessed via the original article.,[],[],[],NaN
16,C:\Users\shweata\ethics_statement_2000_generic\PMC7458281\eupmc_result.json,PMC7458281,Ethics The evaluation of the STR is fully covered by a study protocol approved by the National Research Ethics Committee of Bangladesh Medical Research Council and the Institutional Review Board of the Institute of Tropical Medicine Antwerp. All patients completed and signed an informed consent form in the local language before starting treatment.," Background Since a meta-analysis showed little or no effect of second-line injectables on treatment success, and using injectables may induce ototoxicity, injectable-free rifampicin-resistant tuberculosis (RR-TB) treatment regimens are recommended. However, acquired resistance preventing activity was overlooked. No previous study assessed the effect of shortening the duration of kanamycin administration to 2 months during the intensive phase of the RR-TB shorter treatment regimen (STR). Methods Retrospective cohort study of the effect of using 2 months of kanamycin instead of the standard 4(+) months (extension if lack of smear conversion at 4 months) on recurrence (either treatment failure or relapse) and fluoroquinolone acquired drug resistance, in patients treated with a gatifloxacin-based STR in Damien Foundation supported clinics in Bangladesh. Logistic regression was used to estimate associations. Results Five of 52 (9.6%) treated with a STR containing two months of kanamycin had recurrence, compared to 21 of 738 (2.8%) patients treated with the standard STR containing 4(+) months of kanamycin (OR 3.7; 95%CI:1.5-10.3). In those with initially fluoroquinolone-susceptible TB, acquired resistance to fluoroquinolone was detected in none of 639 patients treated with 4(+) months of kanamycin and two (4.5%) of 44 treated with two months of kanamycin (OR 75.2; 95%CI:3.6-1592.1). Conclusion Two months of kanamycin was insufficient to prevent recurrence with acquired resistance to gatifloxacin, the core drug of the most effective RR-TB STR. Injectable mediated resistance prevention is important to reach high effectiveness, to safeguard all treatment options after recurrence, and to prevent the spread of resistant TB. Studies on all-oral regimens should also assess the effect of regimen composition on resistance acquisition. Until evidence shows that other drugs can assure at least the same strong resistance preventing activity of the injectables, it seems wise to continue using this group of drugs, and adapt the regimen if any ototoxicity is detected.",[],"['Medicine Antwerp', 'Bangladesh Medical', 'Institutional Review', 'Review Board', 'Tropical Medicine', 'National Research', 'Medical Research', 'Research Council', 'Ethics Committee', 'Research Ethics']",[],NaN
17,C:\Users\shweata\ethics_statement_2000_generic\PMC7458295\eupmc_result.json,PMC7458295,"Ethics statement The study protocol and the written informed consent documents were reviewed and approved by the Institutional Review Boards (IRBs) and ethics committees of the Lata Medical Research Foundation IRB (FWA00012971), the Partners Human Research Committee, Boston, MA, and the Boston University Medical Campus IRB."," Background In low resource settings recall of the date of the mother's last menstrual period may be unreliable and due to limited availability of prenatal ultrasound, gestational age of newborns may not be assessed reliably. Preterm babies are at high risk of morbidity and mortality so an alternative strategy is to identify them soon after birth is needed for early referral and management. Objective The objective of this study was to assess the accuracy in assessing prematurity of newborn, over and above birthweight, using a pictorial Simplified Gestational Age Score adapted for use as a Tablet App. Methods Two trained nurse midwives, blinded to each other's assessment and the actual gestational age of the baby used the app to assess gestational age at birth in 3 hospitals based on the following 4 parameters-newborn's posture, skin texture, breast and genital development. Inter-observer variation was evaluated and the optimal scoring cut-off to detect preterm birth was determined. Sensitivity and specificity of gestational age score using the tablet was estimated using combinations of last menstrual period and ultrasound as reference standards to assess preterm birth. The predictive accuracy of the score using the area under a receiver operating characteristic curve was also determined. To account for potential reference standard bias, we also evaluated the score using latent class models. Results A total of 8,591 live singleton births whose gestational age by last menstrual period and ultrasound was within 1 weeks of each other were enrolled. There was strong agreement between assessors (concordance correlation coefficient 0.77 (95% CI 0.76-0.78) and Fleiss' kappa was 0.76 (95% CI 0.76-0.78). The optimal cut-off for the score to predict preterm was 13. Irrespective of the reference standard, the specificity of the score was 90% and sensitivity varied from 40-50% and the predictive accuracy between 74%-79% for the reference standards. The likelihood ratio of a positive score varied between 3.75-4.88 while the same for a negative likelihood ratio consistently varied between 0.57-0.72. Latent class models showed similar results indicating no reference standard bias. Conclusion Gestational age scores had strong inter-observer agreement, robust prediction of preterm births simplicity of use by nurse midwives and can be a useful tool in resource-limited scenarios. Trial registration The Tablet App for the Simplified Gestational Age Score (T-SGAS) study was registered at ClinicalTrials.gov NCT02408783.",[],"['Review Boards', 'Foundation IRB', 'Campus IRB', 'Institutional Review', 'Partners Human', 'Lata Medical', 'Research Foundation', 'Human Research', 'Boston University', 'University Medical']",[],NaN
18,C:\Users\shweata\ethics_statement_2000_generic\PMC7458309\eupmc_result.json,PMC7458309,Ethics statement Patients included in this study participated in two studies involving GCA patients (Clinicaltrials.gov NCT02158208 and NCT02857192) and gave both oral and written informed consent for the use of their temporal arteries for subsequent research in the field of GCA. This study was approved by the Institutional Review Board and the Ethics Committee of the Dijon University Hospital.,"Histopathological examination of temporal artery biopsy (TAB) remains the gold standard for the diagnosis of giant cell arteritis (GCA) but is associated with essential limitations that emphasize the need for an upgraded pathological process. This study pioneered the use of full-field optical coherence tomography (FF-OCT) for rapid and automated on-site pathological diagnosis of GCA. Sixteen TABs (12 negative and 4 positive for GCA) were selected according to major histopathological criteria of GCA following hematoxylin-eosin-saffron-staining for subsequent acquisition with FF-OCT to compare structural modifications of the artery cell wall and thickness of each tunica. Gabor filtering of FF-OCT images was then used to compute TAB orientation maps and validate a potential automated analysis of TAB sections. FF-OCT allowed both qualitative and quantitative visualization of the main structures of the temporal artery wall, from the internal elastic lamina to the vasa vasorum and red blood cells, unveiling a significant correlation with conventional histology. FF-OCT imaging of GCA TABs revealed destruction of the media with distinct remodeling of the whole arterial wall into a denser reticular fibrous neo-intima, which is distinctive of GCA pathogenesis and accessible through automated Gabor filtering. Rapid on-site FF-OCT TAB acquisition makes it possible to identify some characteristic pathological lesions of GCA within a few minutes, paving the way for potential machine intelligence-based or even non-invasive diagnosis of GCA.",[],"['GCA patients', 'involving GCA', 'statement Patients', 'Patients included', 'studies involving', 'written informed', 'informed consent', 'temporal arteries', 'subsequent research', 'Ethics statement']",[],NaN
19,C:\Users\shweata\ethics_statement_2000_generic\PMC7458342\eupmc_result.json,PMC7458342,," Background Stringent complete response (sCR) is used as a deeper response category than complete response (CR) in multiple myeloma (MM) but may be of limited value in the era of minimal residual disease (MRD) testing. Methods Here, we used 4-colour multiparametric flow cytometry (MFC) or next-generation sequencing (NGS) of immunoglobulin genes to analyse and compare the prognostic impact of sCR and MRD monitoring. We included 193 treated patients in two institutions achieving CR, for which both bone marrow aspirates and biopsies were available. Results We found that neither the serum free light chain ratio, clonality by immunohistochemistry (IHC) nor plasma cell bone marrow infiltration identified CR patients at distinct risk. Patients with sCR had slightly longer progression-free survival. Nevertheless, persistent clonal bone marrow disease was detectable using MFC or NGS and was associated with significantly inferior outcomes compared with MRD-negative cases. Conclusion Our results confirm that sCR does not predict a different outcome and indicate that more sensitive techniques are able to identify patients with differing prognoses. We suggest that MRD categories should be implemented over sCR for the future classification of MM responses.",[],[],[],NaN
20,C:\Users\shweata\ethics_statement_2000_generic\PMC7470280\eupmc_result.json,PMC7470280,,"Pulmonary hypertension due to left heart disease (PH-LHD) is a momentous pulmonary hypertension disease, and left heart disease is the most familiar cause. Mechanical stretching may be a crucial cause of vascular remodeling. While, the underlining mechanism of mechanical stretching-induced in remodeling of pulmonary vein in the early stage of PH-LHD has not been completely elucidated. In our study, the PH-LHD model rats were successfully constructed. After 25 days, doppler echocardiography and hemodynamic examination were performed. In addition, after treatment, the levels of matrix metalloproteinase-9 (MMP-9) and transforming growth factor-β1 (TGF-β1) were determined by ELISA, immunohistochemistry and western blot assays in the pulmonary veins. Moreover, the pathological change of pulmonary tissues was evaluated by H&E staining. Our results uncovered that left ventricular insufficiency and interventricular septal shift could be observed in PH-LHD model rats, and the right ventricular systolic pressure (RVSP) and mean left atrial pressure (mLAP) were also elevated in PH-LHD model rats. Meanwhile, we found that MMP-9 and TGF-β1 could be highly expressed in PH-LHD model rats. Besides, we revealed that stretch-activated channel (SAC)/mitogen-activated protein kinases (MAPKs) signaling pathway could be involved in the upregulations of MMP-9 and TGF-β1 mediated by mechanical stretching in pulmonary vein. Therefore, current research revealed that mechanical stretching induced the increasing expressions of MMP-9 and TGF-β1 in pulmonary vein, which could be mediated by activation of SAC/MAPKs signaling pathway in the early stage of PH-LHD.",[],[],[],NaN
21,C:\Users\shweata\ethics_statement_2000_generic\PMC7489574\eupmc_result.json,PMC7489574,,NaN,[],[],[],NaN
22,C:\Users\shweata\ethics_statement_2000_generic\PMC7490024\eupmc_result.json,PMC7490024,,"Artificial intelligence (AI) has great potential to accelerate scientific discovery in medicine and to transform healthcare. In radiology, AI is about to enter into clinical practice and has a wide range of applications covering the whole diagnostic workflow. However, AI applications are not smooth sailing. It is crucial to understand the potential risks and hazards that come with this new technology. We have to implement AI in the best possible way to reflect the time-honored ethical and legal standards while ensuring the adequate protection of patient interests. These issues are discussed under the light of core biomedical ethics principles and principles for AI-specific ethical challenges while giving an overview of the statements that were proposed for the ethics of AI applications in radiology.",[],[],[],NaN
